epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25674,0.75725,1.53053,1.15896,1.05314,0,0.78838,0.66926,0.75704,0.55808,0.79603,0.67575,0.74259,0.48571,0.65958,1.3775,0.93468,0.97401,0,0.000450262,0.000450262,0.000450262
2,12.7704,0.68301,1.2808,0.98164,0.94538,0,0.77647,0.64879,0.74647,0.55019,0.78113,0.65268,0.73105,0.48324,0.67154,1.34872,0.95906,0.98026,0,0.000902079,0.000902079,0.000902079
3,17.3325,0.69859,1.33863,0.98781,0.95647,0,0.73402,0.68677,0.75914,0.54887,0.74369,0.69433,0.74971,0.49251,0.66864,1.2553,1.02348,0.97334,0,0.00134488,0.00134488,0.00134488
4,21.7337,0.70281,1.29316,0.99028,0.95432,0,0.75122,0.67899,0.77993,0.57065,0.75983,0.68677,0.75907,0.47339,0.67154,1.28972,1.0446,0.96726,0,0.00177866,0.00177866,0.00177866
5,26.1793,0.71102,1.32333,0.98849,0.94724,0,0.7489,0.68469,0.7538,0.54498,0.73973,0.66906,0.72236,0.47917,0.71496,1.39489,1.10853,0.99874,0,0.0019217,0.0019217,0.0019217
6,30.4849,0.70421,1.31166,0.99053,0.94659,0,0.79513,0.71012,0.79763,0.57283,0.81353,0.67902,0.76292,0.49241,0.69197,1.21345,0.99874,0.9868,0,0.00190213,0.00190213,0.00190213
7,34.9471,0.70012,1.24583,0.95472,0.95315,0,0.77662,0.66288,0.74723,0.54134,0.79373,0.65134,0.72362,0.4783,0.7056,1.34994,1.10035,0.98777,0,0.00188255,0.00188255,0.00188255
8,39.3303,0.71618,1.2641,0.99151,0.94655,0,0.68151,0.52918,0.58478,0.42417,0.71771,0.50454,0.56261,0.35474,0.85217,2.37811,1.83214,1.11868,0,0.00186298,0.00186298,0.00186298
9,43.6856,0.71796,1.30296,1.00877,0.9576,0,0.76608,0.61284,0.69588,0.51952,0.85324,0.56809,0.68037,0.44514,0.75983,1.48262,1.35256,1.04098,0,0.0018434,0.0018434,0.0018434
10,48.1784,0.66967,1.25105,0.95252,0.94654,0,0.76564,0.71401,0.78041,0.58195,0.76564,0.71401,0.75778,0.49039,0.6631,1.33369,1.01867,0.96492,0,0.00182383,0.00182383,0.00182383
11,52.6682,0.67776,1.21784,0.92941,0.94625,0,0.79182,0.6965,0.79045,0.56701,0.79209,0.69674,0.7615,0.47303,0.72365,1.37806,0.99479,1.00647,0,0.00180425,0.00180425,0.00180425
12,57.1568,0.66894,1.19925,0.9264,0.94279,0,0.80898,0.64591,0.77139,0.56329,0.80134,0.65759,0.7351,0.48059,0.67637,1.3298,1.08743,0.97866,0,0.00178468,0.00178468,0.00178468
13,61.5798,0.68186,1.26326,0.94602,0.93682,0,0.79055,0.66537,0.77027,0.54433,0.7861,0.66148,0.73919,0.48518,0.75407,1.37456,1.04511,1.03308,0,0.0017651,0.0017651,0.0017651
14,66.001,0.68121,1.19344,0.92379,0.93426,0,0.83104,0.63424,0.75628,0.54681,0.84474,0.63619,0.73954,0.50088,0.75046,1.26893,1.10586,1.04374,0,0.00174553,0.00174553,0.00174553
15,70.4949,0.67159,1.21746,0.91951,0.94501,0,0.81717,0.66958,0.79016,0.57632,0.81242,0.66569,0.75698,0.49714,0.67143,1.20904,0.98953,0.99988,0,0.00172596,0.00172596,0.00172596
16,74.9356,0.64439,1.20728,0.882,0.91904,0,0.77161,0.72304,0.80041,0.58262,0.77058,0.69261,0.75743,0.50058,0.66345,1.25968,0.97519,0.979,0,0.00170638,0.00170638,0.00170638
17,79.367,0.66055,1.1918,0.91227,0.9357,0,0.80387,0.5856,0.70689,0.51642,0.80387,0.5856,0.6881,0.46126,0.7341,1.38728,1.26068,1.04829,0,0.00168681,0.00168681,0.00168681
18,83.8381,0.63754,1.19953,0.85512,0.92759,0,0.79876,0.70273,0.79825,0.58622,0.809,0.69221,0.76796,0.50426,0.65616,1.23001,0.94865,0.97857,0,0.00166723,0.00166723,0.00166723
19,88.2766,0.62207,1.15435,0.85257,0.91654,0,0.8186,0.62333,0.73174,0.5385,0.83757,0.60117,0.70478,0.4717,0.71948,1.39029,1.28004,1.02867,0,0.00164766,0.00164766,0.00164766
20,92.6932,0.64468,1.17358,0.8643,0.92373,0,0.83092,0.66732,0.79533,0.57177,0.83269,0.66537,0.75785,0.48931,0.6924,1.28418,0.9632,0.98396,0,0.00162808,0.00162808,0.00162808
21,97.1517,0.66073,1.14818,0.85213,0.92277,0,0.83388,0.71291,0.80479,0.57269,0.82271,0.69518,0.77232,0.50776,0.723,1.27297,0.95162,1.02327,0,0.00160851,0.00160851,0.00160851
22,101.581,0.66567,1.20952,0.8942,0.93109,0,0.77876,0.58895,0.64763,0.47258,0.81436,0.56615,0.62992,0.42128,0.80708,1.49095,1.4685,1.10336,0,0.00158893,0.00158893,0.00158893
23,105.996,0.61758,1.17091,0.85002,0.90862,0,0.7378,0.72179,0.78024,0.57543,0.80381,0.64786,0.74714,0.51908,0.6832,1.24477,1.02476,0.98646,0,0.00156936,0.00156936,0.00156936
24,110.48,0.64783,1.16345,0.88191,0.92749,0,0.7883,0.68093,0.78419,0.59528,0.78321,0.6607,0.7484,0.50363,0.63933,1.24325,0.96997,0.9758,0,0.00154978,0.00154978,0.00154978
25,114.908,0.62436,1.14568,0.8754,0.9038,0,0.79347,0.69066,0.80073,0.6069,0.8167,0.66747,0.76782,0.52439,0.61435,1.18634,0.94632,0.94383,0,0.00153021,0.00153021,0.00153021
26,119.418,0.62999,1.13658,0.85701,0.9093,0,0.85246,0.72374,0.83299,0.60996,0.86762,0.71206,0.7876,0.51966,0.65101,1.26126,0.8803,0.98673,0,0.00151063,0.00151063,0.00151063
27,123.818,0.60686,1.11133,0.81761,0.89858,0,0.83307,0.71012,0.82286,0.61558,0.85195,0.6829,0.77735,0.53102,0.63197,1.18492,0.85548,0.97124,0,0.00149106,0.00149106,0.00149106
28,128.206,0.60309,1.05643,0.80535,0.89982,0,0.83337,0.72374,0.82549,0.61276,0.83877,0.67811,0.76798,0.53305,0.62038,1.17246,0.90321,0.97152,0,0.00147149,0.00147149,0.00147149
29,132.539,0.61614,1.11083,0.8402,0.90504,0,0.81426,0.72498,0.81927,0.60355,0.8001,0.71012,0.7734,0.50741,0.64154,1.20088,0.88148,0.96741,0,0.00145191,0.00145191,0.00145191
30,136.96,0.6183,1.09766,0.8026,0.90624,0,0.81611,0.66342,0.74664,0.56632,0.80511,0.6537,0.71816,0.49055,0.67464,1.33435,1.21979,0.99523,0,0.00143234,0.00143234,0.00143234
31,141.381,0.62261,1.13397,0.78902,0.90519,0,0.75092,0.6921,0.76663,0.57296,0.80213,0.63813,0.73589,0.50818,0.67687,1.21913,1.06275,1.00006,0,0.00141276,0.00141276,0.00141276
32,145.809,0.61597,1.10079,0.81758,0.91436,0,0.77102,0.71595,0.79286,0.59257,0.84078,0.65175,0.7608,0.51699,0.64757,1.23183,0.9284,0.99415,0,0.00139319,0.00139319,0.00139319
33,150.207,0.61639,1.118,0.83729,0.91408,0,0.83307,0.66342,0.76988,0.56698,0.82621,0.64746,0.7281,0.48364,0.70018,1.35795,0.99883,1.01734,0,0.00137361,0.00137361,0.00137361
34,154.659,0.59815,1.09672,0.78611,0.90114,0,0.8453,0.70162,0.81993,0.60231,0.8374,0.70135,0.78024,0.51838,0.65456,1.13213,0.90556,1.00863,0,0.00135404,0.00135404,0.00135404
35,159.049,0.59398,1.06042,0.77465,0.90195,0,0.82737,0.73665,0.8282,0.62576,0.85246,0.69691,0.79278,0.54827,0.61556,1.14311,0.84189,0.95423,0,0.00133446,0.00133446,0.00133446
36,163.494,0.59058,1.09287,0.74758,0.89627,0,0.8101,0.76848,0.84583,0.64459,0.81939,0.73735,0.80814,0.56687,0.59745,1.11098,0.80745,0.97457,0,0.00131489,0.00131489,0.00131489
37,167.934,0.59967,1.08145,0.78257,0.90139,0,0.81168,0.75875,0.83777,0.62846,0.80593,0.7433,0.80248,0.54883,0.61824,1.12143,0.81563,0.9674,0,0.00129531,0.00129531,0.00129531
38,172.297,0.60302,1.07524,0.76164,0.8876,0,0.79451,0.73346,0.81254,0.60641,0.82554,0.70623,0.78343,0.52473,0.65441,1.22151,0.91626,0.98649,0,0.00127574,0.00127574,0.00127574
39,176.869,0.59125,1.12883,0.76496,0.88607,0,0.79486,0.70428,0.80537,0.60238,0.80347,0.68482,0.77068,0.51246,0.63392,1.19782,0.93515,0.97814,0,0.00125617,0.00125617,0.00125617
40,181.262,0.59552,1.06653,0.76318,0.90271,0,0.7623,0.71753,0.80226,0.60954,0.80722,0.67614,0.76478,0.51579,0.62821,1.17609,0.89197,0.97157,0,0.00123659,0.00123659,0.00123659
