epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95943,0.72633,1.14714,2.78715,0.97585,0,0.48155,0.64743,0.51415,0.37211,0.49069,0.65796,0.52875,0.33612,0.63161,1.0969,1.81541,0.94535,0,0.000375293,0.000375293,0.000375293
2,11.6758,0.64701,0.96963,1.48865,0.91062,0,0.56111,0.59628,0.56696,0.41515,0.5541,0.59448,0.56539,0.36884,0.63865,1.1043,1.35764,0.92488,0,0.000751883,0.000751883,0.000751883
3,16.9125,0.64745,1.02562,1.3507,0.90252,0,0.53012,0.64369,0.58713,0.41988,0.53418,0.64343,0.59165,0.37265,0.63053,1.08105,1.41618,0.93646,0,0.00112095,0.00112095,0.00112095
4,21.5253,0.65698,1.01894,1.30754,0.90527,0,0.52868,0.62576,0.55798,0.39637,0.53379,0.63089,0.56064,0.35252,0.6517,1.20263,1.39083,0.93233,0,0.00148251,0.00148251,0.00148251
5,26.0343,0.66201,1.01803,1.24575,0.89158,0,0.5216,0.57053,0.5498,0.40134,0.52929,0.57924,0.54944,0.35338,0.7004,1.55047,1.50729,0.95968,0,0.00160174,0.00160174,0.00160174
6,30.4971,0.67104,1.02038,1.22908,0.89717,0,0.62612,0.70188,0.69026,0.50479,0.63304,0.68549,0.68653,0.44819,0.66362,1.0611,1.21985,0.91978,0,0.00158542,0.00158542,0.00158542
7,35.005,0.62651,0.9554,1.20508,0.88525,0,0.65865,0.66582,0.68188,0.49987,0.6715,0.64847,0.68221,0.43866,0.64326,1.04249,1.25845,0.91053,0,0.00156911,0.00156911,0.00156911
8,39.5374,0.64237,0.96763,1.20667,0.88067,0,0.56075,0.49718,0.52492,0.38364,0.58232,0.49578,0.52714,0.3298,0.74059,1.46968,1.76952,0.98634,0,0.00155279,0.00155279,0.00155279
9,44.0424,0.66965,1.03555,1.22882,0.89463,0,0.60482,0.66912,0.66472,0.48873,0.60301,0.67046,0.66282,0.44465,0.67647,1.20038,1.26396,0.95924,0,0.00153648,0.00153648,0.00153648
10,48.4704,0.64199,0.98531,1.18996,0.89339,0,0.66789,0.5711,0.64255,0.48092,0.66599,0.5693,0.63937,0.42335,0.64319,1.07705,1.28306,0.92217,0,0.00152016,0.00152016,0.00152016
11,53.029,0.64418,0.98495,1.16126,0.89291,0,0.50615,0.58226,0.5127,0.35998,0.50789,0.58148,0.51866,0.32747,0.74929,1.17129,1.59051,1.00998,0,0.00150385,0.00150385,0.00150385
12,57.7161,0.63295,0.9418,1.17169,0.88876,0,0.64039,0.66866,0.67572,0.49357,0.64421,0.67199,0.6811,0.44672,0.66899,1.08159,1.25878,0.95137,0,0.00148753,0.00148753,0.00148753
13,62.2867,0.63885,0.9567,1.12721,0.88178,0,0.62059,0.64159,0.67836,0.49766,0.62163,0.66053,0.68064,0.45325,0.67691,1.03881,1.35055,0.95303,0,0.00147121,0.00147121,0.00147121
14,67.0191,0.61155,0.90919,1.08371,0.87625,0,0.58894,0.48457,0.53949,0.39019,0.5868,0.48499,0.5354,0.3366,0.7345,1.40781,1.48896,0.95924,0,0.0014549,0.0014549,0.0014549
15,71.5767,0.62107,0.93737,1.07788,0.8847,0,0.56082,0.63619,0.62236,0.45777,0.59732,0.61873,0.63148,0.4188,0.69988,1.2568,1.37492,0.97828,0,0.00143858,0.00143858,0.00143858
16,76.2566,0.61695,0.9713,1.07968,0.86751,0,0.63622,0.6683,0.70169,0.52198,0.6381,0.6701,0.70335,0.46164,0.59515,1.01897,1.15465,0.90373,0,0.00142227,0.00142227,0.00142227
17,81.0755,0.61743,0.93909,1.07175,0.87394,0,0.64623,0.71576,0.72606,0.54243,0.65915,0.69541,0.72529,0.47459,0.6206,1.00157,1.17338,0.91602,0,0.00140595,0.00140595,0.00140595
18,85.6785,0.60267,0.91336,1.01629,0.87192,0,0.59982,0.57355,0.59242,0.44403,0.60794,0.58201,0.60385,0.40541,0.72389,1.23433,1.62374,0.98914,0,0.00138964,0.00138964,0.00138964
19,90.1323,0.60248,0.93329,1.02532,0.87064,0,0.66436,0.68681,0.70205,0.52482,0.66521,0.68861,0.69662,0.46894,0.59808,1.07737,1.07731,0.92446,0,0.00137332,0.00137332,0.00137332
20,94.7243,0.59231,0.91057,0.99681,0.86805,0,0.69805,0.7312,0.77235,0.58447,0.70417,0.72787,0.77106,0.52569,0.58275,0.95909,1.00253,0.91068,0,0.00135701,0.00135701,0.00135701
21,99.4448,0.57259,0.88516,0.94846,0.84959,0,0.62394,0.68475,0.69253,0.51426,0.62073,0.68115,0.68866,0.4652,0.64267,1.12891,1.25323,0.94122,0,0.00134069,0.00134069,0.00134069
22,104.111,0.57308,0.87919,0.99554,0.85517,0,0.54505,0.67312,0.63144,0.4646,0.574,0.6436,0.62335,0.4099,0.62457,1.14222,1.40958,0.91055,0,0.00132438,0.00132438,0.00132438
23,108.57,0.57519,0.91481,1.02492,0.86209,0,0.62325,0.64233,0.67564,0.5017,0.6121,0.65151,0.6723,0.44935,0.60951,1.02696,1.34221,0.90304,0,0.00130806,0.00130806,0.00130806
24,113.209,0.59444,0.91176,0.97756,0.86962,0,0.68216,0.65628,0.7079,0.53714,0.68392,0.65808,0.70627,0.47712,0.59047,1.00984,1.14196,0.91146,0,0.00129175,0.00129175,0.00129175
25,117.956,0.5936,0.8952,1.0121,0.86788,0,0.63604,0.70058,0.70209,0.52239,0.63559,0.7093,0.69927,0.462,0.59396,1.00997,1.15414,0.9214,0,0.00127543,0.00127543,0.00127543
26,122.534,0.58801,0.89444,0.99866,0.85016,0,0.63825,0.72676,0.73189,0.5522,0.64123,0.72856,0.73221,0.48944,0.59282,1.02887,1.11866,0.90505,0,0.00125911,0.00125911,0.00125911
27,127.182,0.56041,0.87445,0.94409,0.83742,0,0.72099,0.67084,0.7534,0.59005,0.7251,0.67444,0.75691,0.52989,0.54922,0.96893,1.0644,0.88052,0,0.0012428,0.0012428,0.0012428
28,131.775,0.5665,0.86711,0.96267,0.84954,0,0.7235,0.70448,0.77175,0.59385,0.72296,0.70448,0.76841,0.53412,0.55679,0.97618,1.01984,0.89563,0,0.00122648,0.00122648,0.00122648
29,136.433,0.57559,0.87738,0.96804,0.85004,0,0.70062,0.56615,0.65464,0.4942,0.73283,0.55763,0.65291,0.4257,0.65646,1.17088,1.26337,0.93167,0,0.00121017,0.00121017,0.00121017
30,140.881,0.56286,0.85044,0.94623,0.84929,0,0.71564,0.74092,0.76422,0.58119,0.709,0.73275,0.75866,0.5248,0.58985,1.01141,1.00577,0.92653,0,0.00119385,0.00119385,0.00119385
31,145.378,0.58269,0.877,0.90878,0.85265,0,0.68834,0.72354,0.75713,0.5862,0.69313,0.72867,0.76352,0.52687,0.5514,0.94062,1.01902,0.8914,0,0.00117754,0.00117754,0.00117754
