fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.66537,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.73693,0.01,0.01604,0.94297,0.0,2.79689,0.79673,7.48853,0.57049,2.03879,0.00325,0.7005,0.3195,0.00621,0.09661,0.3476,0.0,0.0,0.00186,0.5073,0.0,0.99913,0.0,0.0,0.0,10
0.74169,0.01,0.01,0.98,0.001,2.80404,0.8073,10.31481,0.43958,2.37157,0.0,0.9,0.32885,0.0129,0.08191,0.34832,0.00136,0.001,0.0,0.42976,0.00379,1.0,0.0,0.00216,0.00381,10
1.13322,0.0009,0.01561,0.88198,0.0,2.79483,0.92586,7.49276,0.57836,1.41886,0.00611,0.86669,0.30658,0.00979,0.10788,0.25466,0.0,0.0,0.00094,0.44006,0.0,1.0,0.00084,0.0048,0.01527,9
1.14918,0.00087,0.01153,0.87925,0.00079,2.80137,0.81458,8.85519,0.52228,1.99953,0.0,0.88034,0.33231,0.00972,0.10918,0.36138,0.00112,0.00077,0.00014,0.55502,0.00219,1.0,0.00072,0.005,0.00512,10
1.13745,0.00088,0.01045,0.87938,0.00077,2.79904,0.80666,7.44105,0.53633,1.53158,0.00529,0.87649,0.32491,0.00886,0.10764,0.23689,0.00058,0.0002,0.00109,0.68895,0.00096,0.9976,0.00085,0.00485,0.00465,9
1.027,0.0047,0.01149,0.87681,0.00081,2.80134,0.81214,7.14062,0.50303,2.33627,0.00472,0.69995,0.32507,0.01275,0.09349,0.29283,0.0005,0.001,0.001,0.50034,0.00265,1.0,0.0,0.00249,0.00379,9
0.68512,0.00881,0.01,0.93684,0.00087,2.79809,0.95,8.61237,0.54802,1.74645,0.00393,0.89263,0.30804,0.0062,0.09262,0.33175,0.00112,0.00025,0.00031,0.45924,0.00108,0.99962,0.00045,0.00317,0.0,9
0.79706,0.00757,0.0119,0.96796,0.00025,2.79627,0.68441,8.64274,0.57371,2.79653,0.00388,0.70688,0.39265,0.01124,0.0917,0.25195,0.0,0.0002,0.00203,0.52034,0.00176,1.0,0.0,0.00329,0.00335,8
1.00315,0.00236,0.01135,0.89527,0.0,2.79293,0.95,11.16253,0.5505,1.55689,0.00461,0.9,0.29929,0.00719,0.11923,0.28582,0.00036,0.0003,0.00132,0.87347,0.0,1.0,0.00033,0.00376,0.01836,9
0.97896,0.00437,0.01384,0.88791,0.00023,2.79534,0.94239,8.47364,0.56236,1.2311,0.007,0.85514,0.31489,0.00888,0.11137,0.37272,0.0,0.0,0.00098,0.43944,0.00149,0.99719,0.00043,0.00214,0.00856,9
0.96042,0.00425,0.01017,0.87967,0.00084,2.7941,0.92968,10.45122,0.53205,1.16909,0.00101,0.86079,0.27927,0.00605,0.11355,0.27077,0.0003,0.0,0.00069,0.59068,0.0,0.99927,0.00087,0.00367,0.02064,10
1.0176,0.00273,0.01309,0.88894,0.00027,2.38027,0.74317,6.63497,0.56373,1.28676,0.00835,0.77143,0.24413,0.00572,0.09291,0.34427,0.00058,0.0,0.00161,0.73621,0.00193,0.99724,0.00052,0.00511,0.02087,10
1.15505,0.00024,0.01601,0.89334,5e-05,2.80095,0.77427,11.51788,0.58735,1.39531,0.00694,0.8981,0.29658,0.00625,0.11774,0.26648,0.0,0.00055,0.00011,0.66353,0.00123,1.0,0.00048,0.00491,0.00992,9
1.14551,0.00066,0.0167,0.83903,6e-05,3.03258,0.78504,9.65707,0.61236,1.27547,0.0035,0.89185,0.37617,0.00766,0.09866,0.33534,0.00051,0.00018,0.00099,0.60248,0.00149,1.0,0.00076,0.00483,0.01272,10
1.16496,0.00029,0.01117,0.97104,0.0007,2.83257,0.86886,10.50616,0.71201,2.10332,0.00259,0.89125,0.31138,0.00856,0.11746,0.16116,0.00078,0.00044,0.00145,0.56761,0.00234,1.0,0.0005,0.00498,0.00619,7
1.14165,0.00103,0.0105,0.88778,4e-05,2.79504,0.77161,8.58112,0.63849,1.26641,0.00234,0.86078,0.33777,0.00697,0.12159,0.3183,0.00065,0.00023,0.0011,0.53677,0.00127,0.82172,0.00081,0.00491,0.00402,10
1.1591,0.00085,0.0106,0.87544,0.00068,2.86189,0.89235,10.96164,0.54932,1.72761,0.00822,0.9,0.28312,0.0126,0.11072,0.38478,0.00032,0.00051,0.00075,0.43534,0.00113,1.0,0.00052,0.00499,0.00564,8
1.15256,0.00064,0.01664,0.89349,0.00087,2.96485,0.80534,9.8176,0.75579,2.49275,0.0003,0.83735,0.3542,0.00895,0.1047,0.27616,0.0,6e-05,0.00026,0.48023,0.00096,0.93438,0.00072,0.00495,0.01186,9
1.12112,0.00064,0.01,0.954,0.00031,2.81561,0.68753,11.26234,0.68168,2.09928,0.00786,0.89999,0.42439,0.01126,0.10999,0.11346,0.00081,0.00057,0.00022,0.61166,0.00234,1.0,0.00052,0.0038,0.01234,10
1.15211,0.00051,0.01239,0.83128,0.0,4.01144,0.77575,6.91224,0.58715,2.52613,0.00614,0.9,0.29123,0.005,0.11637,0.23517,0.00055,3e-05,0.00136,0.52608,0.00127,0.87481,0.00058,0.00499,0.00474,10
1.15279,0.00029,0.01996,0.88282,0.00022,3.62049,0.65678,10.52341,0.65337,2.54561,0.00553,0.9,0.34457,0.01303,0.10307,0.25286,0.00021,0.00027,0.00011,0.45645,0.0017,1.0,0.00073,0.00415,0.01176,9
