epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74448,2.59576,5.1372,13.2426,1.94179,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0025,0.0025,0.0775
2,12.7319,2.71732,3.56855,2.77575,2.22685,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0049317,0.0049317,0.0539317
3,15.6755,2.41953,3.06493,2.47018,2.09638,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0071918,0.0071918,0.0301918
4,18.626,2.30773,2.82574,2.24776,2.02739,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00901,0.00901,0.00901
5,21.8531,2.18782,2.79746,2.12704,1.9666,0,0.05774,0.08358,0.01874,0.00332,0.06478,0.02687,0.00485,0.00098,nan,nan,nan,nan,0,0.00868,0.00868,0.00868
6,25.0015,2.22203,2.74663,2.10918,1.96721,0,0.15569,0.06866,0.03006,0.01122,0.14141,0.0597,0.023,0.00737,nan,nan,nan,nan,0,0.00835,0.00835,0.00835
7,28.123,2.08642,2.61939,1.97393,1.89173,0,0.18669,0.10746,0.08284,0.03769,0.22191,0.11045,0.07933,0.04031,2.84402,17.2909,9.73725,3.07396,0,0.00802,0.00802,0.00802
8,31.2192,2.11481,2.6871,2.02344,1.90249,0,0.36076,0.42117,0.34058,0.15236,0.37926,0.45672,0.37287,0.19714,2.03341,3.25866,2.34586,2.08955,0,0.00769,0.00769,0.00769
9,34.3497,2.09216,2.49213,1.96688,1.9104,0,0.81144,0.02576,0.04313,0.02715,0.75371,0.02744,0.04504,0.02913,2.1381,3.26269,4.05153,2.14082,0,0.00736,0.00736,0.00736
10,37.4604,1.98755,2.38645,1.88013,1.85759,0,0.29085,0.21791,0.1921,0.08322,0.29881,0.22388,0.20155,0.09929,2.10054,2.69688,2.70654,2.09805,0,0.00703,0.00703,0.00703
11,40.5375,1.93501,2.35174,1.8237,1.82367,0,0.46394,0.38806,0.42036,0.22544,0.46852,0.42985,0.44885,0.24045,1.84393,2.25564,1.79098,1.87695,0,0.0067,0.0067,0.0067
12,43.661,1.83161,2.28463,1.75962,1.72014,0,0.44331,0.09851,0.08382,0.03516,0.49704,0.11045,0.09094,0.04108,2.20797,3.77277,6.54317,2.12027,0,0.00637,0.00637,0.00637
13,46.8109,1.94909,2.35959,1.87171,1.83984,0,0.4074,0.39104,0.33229,0.16042,0.41662,0.40597,0.34767,0.17473,1.95346,2.90241,9.1471,2.01671,0,0.00604,0.00604,0.00604
14,49.8996,1.90119,2.29325,1.77251,1.73431,0,0.41887,0.41194,0.35734,0.18495,0.43876,0.43639,0.38925,0.19403,1.75515,2.27406,2.18798,1.82537,0,0.00571,0.00571,0.00571
15,52.9648,1.84607,2.30787,1.77235,1.73762,0,0.45549,0.40299,0.35725,0.18141,0.46954,0.43582,0.38287,0.19289,1.85859,2.55171,1.94135,1.86827,0,0.00538,0.00538,0.00538
16,56.0075,1.85084,2.30586,1.73392,1.71212,0,0.39456,0.32682,0.28019,0.13465,0.38227,0.32239,0.28048,0.13843,1.98048,2.64328,2.50161,1.97099,0,0.00505,0.00505,0.00505
17,59.0903,1.78154,2.20467,1.71507,1.71112,0,0.4617,0.41493,0.39559,0.20723,0.49091,0.41451,0.41734,0.21076,1.75205,2.31025,1.91462,1.80781,0,0.00472,0.00472,0.00472
18,62.1873,1.74875,2.21147,1.70732,1.71305,0,0.5131,0.44669,0.4542,0.24736,0.5327,0.49254,0.49475,0.26377,1.76834,2.27044,1.76618,1.83422,0,0.00439,0.00439,0.00439
19,65.2592,1.75446,2.25044,1.80293,1.66477,0,0.48635,0.38507,0.40152,0.21458,0.5052,0.4,0.42835,0.22264,1.83055,2.32789,1.87958,1.87151,0,0.00406,0.00406,0.00406
20,68.3317,1.69866,2.22753,1.68912,1.64401,0,0.51381,0.44478,0.4509,0.23912,0.51291,0.4806,0.476,0.25156,1.68221,2.273,1.71253,1.75113,0,0.00373,0.00373,0.00373
21,72.1902,1.68397,2.2154,1.67798,1.71852,0,0.467,0.39701,0.3666,0.18286,0.48203,0.41392,0.37779,0.19596,1.80005,2.50725,2.12566,1.81957,0,0.0034,0.0034,0.0034
22,75.2697,1.68204,2.16583,1.62799,1.71365,0,0.40303,0.31343,0.29682,0.15306,0.41294,0.32537,0.31693,0.16676,2.04371,2.83729,2.38725,1.97776,0,0.00307,0.00307,0.00307
23,78.314,1.64431,2.19698,1.63353,1.69232,0,0.59054,0.43881,0.487,0.24152,0.60013,0.45373,0.50766,0.25196,1.74722,2.18373,1.72914,1.79304,0,0.00274,0.00274,0.00274
24,81.4134,1.6444,2.12336,1.65695,1.67539,0,0.53748,0.51045,0.50301,0.28429,0.55005,0.52239,0.52836,0.28491,1.60407,2.10167,1.6274,1.69319,0,0.00241,0.00241,0.00241
25,84.5156,1.64387,2.11148,1.58591,1.70598,0,0.59099,0.45288,0.46705,0.25432,0.56379,0.46567,0.46656,0.25642,1.75601,2.18469,1.80178,1.78267,0,0.00208,0.00208,0.00208
26,87.617,1.61995,2.08469,1.55826,1.68729,0,0.53648,0.48955,0.48781,0.26655,0.57559,0.46269,0.50807,0.27105,1.64781,2.13525,1.64461,1.7179,0,0.00175,0.00175,0.00175
27,90.7023,1.60318,2.14599,1.58664,1.67582,0,0.57588,0.51642,0.50263,0.28441,0.61981,0.51045,0.54351,0.28502,1.65681,2.14543,1.59845,1.76174,0,0.00142,0.00142,0.00142
28,93.8045,1.55309,2.06975,1.52472,1.65813,0,0.51498,0.48176,0.46347,0.25334,0.5382,0.50792,0.47858,0.2673,1.64509,2.2234,1.75754,1.72631,0,0.00109,0.00109,0.00109
29,96.9672,1.53507,2.05743,1.49429,1.64975,0,0.61629,0.29254,0.30187,0.16729,0.6332,0.30746,0.31748,0.17437,1.77362,2.50274,5.88892,1.82814,0,0.00076,0.00076,0.00076
30,100.049,1.53985,2.05974,1.46053,1.63242,0,0.6265,0.5403,0.57471,0.32662,0.65051,0.54452,0.58885,0.33875,1.49869,1.95628,1.46584,1.62159,0,0.00043,0.00043,0.00043
