epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2358,1.77602,3.31158,4.81752,1.08341,0,0.5373,0.33433,0.3568,0.22007,0.22091,0.11642,0.07586,0.01865,1.65022,19.6441,3.07863,1.05653,0,0.0002575,0.0002575,0.0752575
2,13.5102,1.41764,2.25936,1.82712,0.98874,0,0.46794,0.47761,0.4119,0.26791,0.42579,0.24179,0.18501,0.07864,1.53901,11.2003,2.7758,1.04197,0,0.000507974,0.000507974,0.049508
3,16.7731,1.43834,2.21818,1.74834,0.96136,0,0.45308,0.51642,0.43947,0.28008,0.39065,0.4209,0.33444,0.13557,1.57861,6.23465,3.09215,1.08281,0,0.000740782,0.000740782,0.0237408
4,20.0019,1.36155,2.14711,1.78866,0.96236,0,0.13326,0.36716,0.10576,0.06055,0.12398,0.40896,0.09088,0.04494,1.5673,4.48631,7.20862,1.06523,0,0.000928082,0.000928082,0.000928082
5,23.1936,1.35233,2.1441,1.59407,0.95284,0,0.59482,0.59701,0.59567,0.34842,0.6003,0.58507,0.59384,0.31311,1.66263,2.91957,1.80815,1.0842,0,0.000894109,0.000894109,0.000894109
6,26.3737,1.32741,2.03351,1.4317,0.94012,0,0.47318,0.56036,0.40509,0.23562,0.47594,0.57313,0.41868,0.24509,1.55444,2.84681,2.21029,1.04131,0,0.000860136,0.000860136,0.000860136
7,29.5548,1.33161,1.98884,1.46479,0.93182,0,0.60436,0.63284,0.57309,0.36446,0.59774,0.60325,0.55517,0.33955,1.36746,2.52841,1.72956,0.95523,0,0.000826163,0.000826163,0.000826163
8,32.7683,1.23437,1.96666,1.40193,0.9123,0,0.64838,0.56716,0.61564,0.39241,0.6357,0.58507,0.6154,0.37383,1.43457,2.46393,1.76792,1.03897,0,0.00079219,0.00079219,0.00079219
9,35.952,1.23297,1.93001,1.29018,0.91838,0,0.60796,0.48955,0.5507,0.37988,0.61166,0.49254,0.55433,0.35138,1.41891,2.62012,1.89567,0.98036,0,0.000758217,0.000758217,0.000758217
10,39.1552,1.21341,1.9074,1.28667,0.91306,0,0.71769,0.69254,0.71674,0.4946,0.72124,0.68736,0.7161,0.45498,1.22738,2.20192,1.38978,0.91345,0,0.000724245,0.000724245,0.000724245
