epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98819,1.52379,2.53728,4.77194,2.34163,0,0.28888,0.49851,0.22812,0.13055,0.29061,0.50149,0.22939,0.11861,1.41792,2.55606,4.53837,2.34324,0,0.0005,0.0005,0.0005
2,9.924,1.3061,1.89028,2.30038,2.09911,0,0.10186,0.2,0.05263,0.02951,0.10223,0.19701,0.0507,0.02403,1.90687,4.33179,10.5562,3.05546,0,0.00100992,0.00100992,0.00100992
3,12.8645,1.29995,1.9817,2.07818,2.1359,0,0.17156,0.25672,0.10635,0.05048,0.16688,0.2597,0.10233,0.04635,1.72277,3.94682,16.649,2.83701,0,0.00150956,0.00150956,0.00150956
4,15.7052,1.36314,1.96837,2.01394,2.2195,0,0.00059,0.06567,0.00032,0.00013,0.00042,0.04478,0.00021,0.00011,2.78892,23.6663,inf,6.75074,0,0.00194071,0.00194071,0.00194071
5,18.4483,1.3423,1.88739,1.91421,2.19111,0,0.04778,0.10746,0.01798,0.00784,0.0418,0.09935,0.01956,0.00618,2.33913,7.60507,16.7615,3.61177,0,0.00192094,0.00192094,0.00192094
6,21.2881,1.29125,1.83794,1.83383,2.15034,0,0.48188,0.50448,0.42146,0.21891,0.47949,0.48657,0.41496,0.21523,1.65363,3.43578,2.60898,2.61031,0,0.00190117,0.00190117,0.00190117
7,24.235,1.22735,1.76757,1.70905,2.10665,0,0.15552,0.39403,0.14812,0.08832,0.16023,0.40597,0.15005,0.08629,1.34534,2.15917,14.0346,2.25434,0,0.00188141,0.00188141,0.00188141
8,27.0528,1.20845,1.67663,1.64135,2.09,0,0.56127,0.42388,0.40675,0.24004,0.56917,0.42985,0.40942,0.21724,1.43991,3.69601,3.10196,2.4382,0,0.00186164,0.00186164,0.00186164
9,29.9284,1.1933,1.67998,1.71845,2.06658,0,0.66916,0.59403,0.58945,0.37276,0.63991,0.6209,0.58615,0.3467,1.19825,2.05261,2.17656,2.16523,0,0.00184188,0.00184188,0.00184188
10,32.9337,1.13609,1.60362,1.62353,2.02273,0,0.57736,0.57907,0.53063,0.32749,0.58843,0.58507,0.53529,0.29981,1.22324,2.06397,2.01168,2.17823,0,0.00182212,0.00182212,0.00182212
