run_name,run_type,epochs,batch,lr0,hsv_s,hsv_v,mosaic,seg_map50,seg_map50_95,seg_precision,seg_recall,box_map50,box_map50_95,box_precision,box_recall,inference_ms,status
baseline,baseline,,,,,,,0.8527,0.5694,0.8317,0.8013,0.8398,0.6361,0.8212,0.7912,1.38,ok
ep50_bs8_lr0p001_s0_v0p2_mos0p5,grid,50,8,0.001,0.0,0.2,0.5,0.7959,0.5394,0.7425,0.7239,0.7917,0.5838,0.7285,0.7138,0.65,ok
ep50_bs8_lr0p001_s0_v0p2_mos1p0,grid,50,8,0.001,0.0,0.2,1.0,0.8115,0.5524,0.7257,0.775,0.807,0.5977,0.7173,0.771,3.06,ok
ep50_bs8_lr0p001_s0_v0p4_mos0p5,grid,50,8,0.001,0.0,0.4,0.5,0.7831,0.532,0.7547,0.7044,0.7799,0.5789,0.7491,0.6938,0.66,ok
ep50_bs8_lr0p001_s0_v0p4_mos1p0,grid,50,8,0.001,0.0,0.4,1.0,0.7872,0.5351,0.7562,0.6996,0.7864,0.5796,0.7316,0.7071,0.65,ok
ep50_bs8_lr0p001_s0p35_v0p2_mos0p5,grid,50,8,0.001,0.35,0.2,0.5,0.7959,0.5394,0.7425,0.7239,0.7917,0.5838,0.7285,0.7138,0.66,ok
ep50_bs8_lr0p001_s0p35_v0p2_mos1p0,grid,50,8,0.001,0.35,0.2,1.0,0.8115,0.5524,0.7257,0.775,0.807,0.5977,0.7173,0.771,0.65,ok
ep50_bs8_lr0p001_s0p35_v0p4_mos0p5,grid,50,8,0.001,0.35,0.4,0.5,0.7831,0.532,0.7547,0.7044,0.7799,0.5789,0.7491,0.6938,0.65,ok
ep50_bs8_lr0p001_s0p35_v0p4_mos1p0,grid,50,8,0.001,0.35,0.4,1.0,0.7872,0.5351,0.7562,0.6996,0.7864,0.5796,0.7316,0.7071,0.65,ok
ep50_bs8_lr0p001_s0p7_v0p2_mos0p5,grid,50,8,0.001,0.7,0.2,0.5,0.7959,0.5394,0.7425,0.7239,0.7917,0.5838,0.7285,0.7138,0.68,ok
ep50_bs8_lr0p001_s0p7_v0p2_mos1p0,grid,50,8,0.001,0.7,0.2,1.0,0.8115,0.5524,0.7257,0.775,0.807,0.5977,0.7173,0.771,0.66,ok
ep50_bs8_lr0p001_s0p7_v0p4_mos0p5,grid,50,8,0.001,0.7,0.4,0.5,0.7831,0.532,0.7547,0.7044,0.7799,0.5789,0.7491,0.6938,0.65,ok
ep50_bs8_lr0p001_s0p7_v0p4_mos1p0,grid,50,8,0.001,0.7,0.4,1.0,0.7872,0.5351,0.7562,0.6996,0.7864,0.5796,0.7316,0.7071,0.65,ok
ep50_bs8_lr0p01_s0_v0p2_mos0p5,grid,50,8,0.01,0.0,0.2,0.5,0.7959,0.5394,0.7425,0.7239,0.7917,0.5838,0.7285,0.7138,0.67,ok
ep50_bs8_lr0p01_s0_v0p2_mos1p0,grid,50,8,0.01,0.0,0.2,1.0,0.8115,0.5524,0.7257,0.775,0.807,0.5977,0.7173,0.771,0.66,ok
ep50_bs8_lr0p01_s0_v0p4_mos0p5,grid,50,8,0.01,0.0,0.4,0.5,0.7831,0.532,0.7547,0.7044,0.7799,0.5789,0.7491,0.6938,0.65,ok
ep50_bs8_lr0p01_s0_v0p4_mos1p0,grid,50,8,0.01,0.0,0.4,1.0,0.7872,0.5351,0.7562,0.6996,0.7864,0.5796,0.7316,0.7071,0.66,ok
ep50_bs8_lr0p01_s0p35_v0p2_mos0p5,grid,50,8,0.01,0.35,0.2,0.5,0.7959,0.5394,0.7425,0.7239,0.7917,0.5838,0.7285,0.7138,0.67,ok
ep50_bs8_lr0p01_s0p35_v0p2_mos1p0,grid,50,8,0.01,0.35,0.2,1.0,0.8115,0.5524,0.7257,0.775,0.807,0.5977,0.7173,0.771,0.66,ok
ep50_bs8_lr0p01_s0p35_v0p4_mos0p5,grid,50,8,0.01,0.35,0.4,0.5,0.7831,0.532,0.7547,0.7044,0.7799,0.5789,0.7491,0.6938,0.66,ok
ep50_bs8_lr0p01_s0p35_v0p4_mos1p0,grid,50,8,0.01,0.35,0.4,1.0,0.7872,0.5351,0.7562,0.6996,0.7864,0.5796,0.7316,0.7071,0.67,ok
ep50_bs8_lr0p01_s0p7_v0p2_mos0p5,grid,50,8,0.01,0.7,0.2,0.5,0.7959,0.5394,0.7425,0.7239,0.7917,0.5838,0.7285,0.7138,0.65,ok
ep50_bs8_lr0p01_s0p7_v0p2_mos1p0,grid,50,8,0.01,0.7,0.2,1.0,0.8115,0.5524,0.7257,0.775,0.807,0.5977,0.7173,0.771,0.65,ok
ep50_bs8_lr0p01_s0p7_v0p4_mos0p5,grid,50,8,0.01,0.7,0.4,0.5,0.7831,0.532,0.7547,0.7044,0.7799,0.5789,0.7491,0.6938,0.66,ok
ep50_bs8_lr0p01_s0p7_v0p4_mos1p0,grid,50,8,0.01,0.7,0.4,1.0,0.7872,0.5351,0.7562,0.6996,0.7864,0.5796,0.7316,0.7071,0.68,ok
ep50_bs16_lr0p001_s0_v0p2_mos0p5,grid,50,16,0.001,0.0,0.2,0.5,0.6259,0.3815,0.6766,0.5791,0.6066,0.3978,0.6659,0.5636,0.66,ok
