run_name,run_type,epochs,batch,lr0,hsv_s,hsv_v,mosaic,seg_recall,seg_map50_95,seg_map50,seg_precision,box_recall,box_map50_95,false_negatives,status
baseline,baseline,50,8,0.01,0.7,0.4,1.0,0.77612,0.54268,0.81287,0.78264,0.7791,0.60517,66,ok
baseline_fair_50ep,baseline,50,8,0.01,0.7,0.4,1.0,0.77612,0.53184,0.79249,0.73909,0.77502,0.5889,66,ok
ep50_bs8_lr0p001_s0p35_v0p2_mos1p0,grid,50,8,0.001,0.35,0.2,1.0,0.76181,0.53963,0.78361,0.73082,0.76418,0.59056,71,ok
ep50_bs8_lr0p001_s0_v0p2_mos1p0,grid,50,8,0.001,0.0,0.2,1.0,0.76181,0.53963,0.78361,0.73082,0.76418,0.59056,71,ok
ep50_bs8_lr0p001_s0p7_v0p4_mos1p0,grid,50,8,0.001,0.7,0.4,1.0,0.76251,0.52814,0.76662,0.66792,0.76119,0.58017,71,ok
ep50_bs8_lr0p01_s0_v0p2_mos1p0,grid,50,8,0.01,0.0,0.2,1.0,0.76181,0.53963,0.78361,0.73082,0.76418,0.59056,71,ok
ep50_bs8_lr0p001_s0p7_v0p2_mos1p0,grid,50,8,0.001,0.7,0.2,1.0,0.76181,0.53963,0.78361,0.73082,0.76418,0.59056,71,ok
ep50_bs8_lr0p001_s0_v0p4_mos1p0,grid,50,8,0.001,0.0,0.4,1.0,0.76251,0.52814,0.76662,0.66792,0.76119,0.58017,71,ok
ep50_bs8_lr0p01_s0p35_v0p2_mos1p0,grid,50,8,0.01,0.35,0.2,1.0,0.76181,0.53963,0.78361,0.73082,0.76418,0.59056,71,ok
ep50_bs8_lr0p01_s0p7_v0p2_mos1p0,grid,50,8,0.01,0.7,0.2,1.0,0.76181,0.53963,0.78361,0.73082,0.76418,0.59056,71,ok
ep50_bs8_lr0p01_s0p35_v0p4_mos1p0,grid,50,8,0.01,0.35,0.4,1.0,0.76251,0.52814,0.76662,0.66792,0.76119,0.58017,71,ok
ep50_bs8_lr0p01_s0p7_v0p4_mos1p0,grid,50,8,0.01,0.7,0.4,1.0,0.76251,0.52814,0.76662,0.66792,0.76119,0.58017,71,ok
ep50_bs8_lr0p01_s0_v0p4_mos1p0,grid,50,8,0.01,0.0,0.4,1.0,0.76251,0.52814,0.76662,0.66792,0.76119,0.58017,71,ok
ep50_bs8_lr0p001_s0p35_v0p4_mos1p0,grid,50,8,0.001,0.35,0.4,1.0,0.76251,0.52814,0.76662,0.66792,0.76119,0.58017,71,ok
ep50_bs8_lr0p01_s0_v0p2_mos0p5,grid,50,8,0.01,0.0,0.2,0.5,0.75216,0.53066,0.77358,0.73467,0.74983,0.57633,74,ok
ep50_bs8_lr0p001_s0p7_v0p2_mos0p5,grid,50,8,0.001,0.7,0.2,0.5,0.75216,0.53066,0.77358,0.73467,0.74983,0.57633,74,ok
ep50_bs8_lr0p001_s0p35_v0p2_mos0p5,grid,50,8,0.001,0.35,0.2,0.5,0.75216,0.53066,0.77358,0.73467,0.74983,0.57633,74,ok
ep50_bs8_lr0p001_s0_v0p2_mos0p5,grid,50,8,0.001,0.0,0.2,0.5,0.75216,0.53066,0.77358,0.73467,0.74983,0.57633,74,ok
ep50_bs8_lr0p01_s0p7_v0p2_mos0p5,grid,50,8,0.01,0.7,0.2,0.5,0.75216,0.53066,0.77358,0.73467,0.74983,0.57633,74,ok
ep50_bs8_lr0p01_s0p35_v0p2_mos0p5,grid,50,8,0.01,0.35,0.2,0.5,0.75216,0.53066,0.77358,0.73467,0.74983,0.57633,74,ok
ep50_bs8_lr0p01_s0_v0p4_mos0p5,grid,50,8,0.01,0.0,0.4,0.5,0.71416,0.52331,0.77094,0.76133,0.70149,0.56415,85,ok
ep50_bs8_lr0p001_s0p7_v0p4_mos0p5,grid,50,8,0.001,0.7,0.4,0.5,0.71416,0.52331,0.77094,0.76133,0.70149,0.56415,85,ok
ep50_bs8_lr0p001_s0_v0p4_mos0p5,grid,50,8,0.001,0.0,0.4,0.5,0.71416,0.52331,0.77094,0.76133,0.70149,0.56415,85,ok
ep50_bs8_lr0p001_s0p35_v0p4_mos0p5,grid,50,8,0.001,0.35,0.4,0.5,0.71416,0.52331,0.77094,0.76133,0.70149,0.56415,85,ok
ep50_bs8_lr0p01_s0p7_v0p4_mos0p5,grid,50,8,0.01,0.7,0.4,0.5,0.71416,0.52331,0.77094,0.76133,0.70149,0.56415,85,ok
ep50_bs8_lr0p01_s0p35_v0p4_mos0p5,grid,50,8,0.01,0.35,0.4,0.5,0.71416,0.52331,0.77094,0.76133,0.70149,0.56415,85,ok
ep50_bs16_lr0p001_s0_v0p2_mos0p5,grid,50,16,0.001,0.0,0.2,0.5,0.52836,0.35879,0.5706,0.66134,0.52836,0.36318,140,ok
