epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.12554,0.77026,1.20144,3.35444,1.04949,0,0.16368,0.3878,0.16707,0.11522,0.16736,0.39898,0.16961,0.1057,0.7518,1.17135,4.04586,1.05167,0,0.000321712,0.000321712,0.000321712
2,11.9258,0.68641,0.99108,1.73608,0.95292,0,0.66883,0.4093,0.38597,0.28328,0.6669,0.40708,0.38324,0.25511,0.62819,1.09746,1.57907,0.95262,0,0.000644535,0.000644535,0.000644535
3,16.6717,0.66709,1.04951,1.52998,0.92993,0,0.64184,0.45527,0.41403,0.29652,0.6436,0.45322,0.4174,0.26132,0.65087,1.1407,1.61517,0.96084,0,0.000960914,0.000960914,0.000960914
4,21.5618,0.66743,1.02045,1.43809,0.91739,0,0.69669,0.43947,0.47716,0.35154,0.69924,0.44187,0.47977,0.32391,0.62262,1.0951,1.45814,0.91714,0,0.00127085,0.00127085,0.00127085
5,26.2151,0.66476,1.0349,1.39427,0.90849,0,0.49465,0.37182,0.40722,0.30306,0.49257,0.37507,0.40782,0.2715,0.72825,1.45488,1.80066,1.00102,0,0.00137306,0.00137306,0.00137306
6,30.8572,0.66294,1.01717,1.36383,0.90666,0,0.79319,0.45978,0.53762,0.3881,0.79609,0.45978,0.545,0.35716,0.65155,1.02751,1.28711,0.92695,0,0.00135907,0.00135907,0.00135907
7,35.5489,0.63955,0.96751,1.33994,0.90502,0,0.49729,0.53265,0.55175,0.3928,0.49673,0.5332,0.54878,0.35463,0.62272,1.07786,1.29446,0.92622,0,0.00134508,0.00134508,0.00134508
8,40.1826,0.64121,0.97166,1.30879,0.88816,0,0.35733,0.46157,0.44647,0.33089,0.35715,0.46898,0.44801,0.29115,0.62813,1.08552,1.48382,0.91788,0,0.0013311,0.0013311,0.0013311
9,44.6796,0.66014,1.00388,1.29882,0.90172,0,0.46459,0.52006,0.51939,0.37351,0.46448,0.51546,0.52076,0.34565,0.63197,1.08881,1.30011,0.9231,0,0.00131711,0.00131711,0.00131711
10,49.1705,0.6382,1.00047,1.22494,0.89961,0,0.31452,0.51186,0.41387,0.29648,0.33546,0.49068,0.4129,0.25737,0.70947,1.21187,1.50852,1.00491,0,0.00130313,0.00130313,0.00130313
11,53.5909,0.63114,0.9868,1.2374,0.89874,0,0.381,0.6107,0.48359,0.33771,0.39262,0.62297,0.48861,0.2933,0.68762,1.14135,1.44168,0.94114,0,0.00128914,0.00128914,0.00128914
12,58.1293,0.62076,0.95878,1.23893,0.89241,0,0.50523,0.55947,0.50337,0.36051,0.50471,0.55845,0.50697,0.32283,0.6664,1.11614,1.42947,0.94981,0,0.00127515,0.00127515,0.00127515
13,62.7366,0.61768,0.96319,1.2009,0.87831,0,0.49991,0.59023,0.5441,0.38449,0.51245,0.60056,0.54389,0.35431,0.61473,1.05745,1.33225,0.93157,0,0.00126117,0.00126117,0.00126117
14,67.4001,0.59984,0.91511,1.13841,0.87599,0,0.36342,0.42139,0.35114,0.23919,0.36927,0.42883,0.35096,0.2037,0.82292,1.60446,1.96225,1.02285,0,0.00124718,0.00124718,0.00124718
15,72.0252,0.60904,0.93,1.12267,0.88443,0,0.45149,0.64159,0.55908,0.41308,0.45516,0.64855,0.56533,0.37791,0.61634,1.03849,1.19581,0.92003,0,0.0012332,0.0012332,0.0012332
16,76.6484,0.60209,0.95185,1.12948,0.8706,0,0.3602,0.50775,0.42603,0.3,0.35994,0.50518,0.42593,0.26083,0.75168,1.56838,1.70538,1.01437,0,0.00121921,0.00121921,0.00121921
17,81.2577,0.61904,0.96342,1.17082,0.88538,0,0.43618,0.61501,0.47389,0.34803,0.44188,0.62294,0.47354,0.31208,0.59486,1.0019,1.24826,0.90624,0,0.00120522,0.00120522,0.00120522
18,85.8446,0.60269,0.93852,1.12345,0.88182,0,0.47132,0.55508,0.54178,0.38795,0.49057,0.56256,0.54443,0.35149,0.62913,1.05229,1.24233,0.94834,0,0.00119124,0.00119124,0.00119124
19,90.4029,0.59139,0.92882,1.1051,0.86909,0,0.52649,0.58728,0.58337,0.42301,0.50574,0.57833,0.56607,0.36947,0.61862,1.06243,1.16997,0.91791,0,0.00117725,0.00117725,0.00117725
20,95.0592,0.59536,0.91895,1.08189,0.87508,0,0.45121,0.64511,0.60184,0.43629,0.45016,0.64374,0.59648,0.38198,0.61862,1.11822,1.15059,0.90442,0,0.00116327,0.00116327,0.00116327
