epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62288,0.71707,1.18877,3.50369,0.96177,0,0.34954,0.41821,0.13149,0.09552,0.35256,0.42044,0.13684,0.09102,0.692,1.11893,3.79242,0.97636,0,0.00025012,0.00025012,0.00025012
2,10.4824,0.66123,0.99285,2.1679,0.91406,0,0.22274,0.52498,0.26913,0.19758,0.22349,0.52659,0.26915,0.17574,0.66375,1.1001,2.0853,0.95775,0,0.000501105,0.000501105,0.000501105
3,15.2561,0.64861,1.0263,1.88831,0.9142,0,0.27377,0.43254,0.30736,0.22897,0.27695,0.43895,0.30686,0.19516,0.59836,1.04353,1.85376,0.89542,0,0.000747079,0.000747079,0.000747079
4,19.9658,0.65558,1.01461,1.7964,0.90565,0,0.42686,0.3834,0.27301,0.19817,0.4307,0.38464,0.27606,0.18092,0.63765,1.12989,1.95183,0.92336,0,0.000988044,0.000988044,0.000988044
5,24.4416,0.6368,0.99752,1.72475,0.8909,0,0.33318,0.60125,0.3696,0.26098,0.33017,0.60071,0.36017,0.2316,0.64758,1.22602,1.95936,0.93255,0,0.00106751,0.00106751,0.00106751
6,29.1463,0.6373,1.01002,1.70026,0.89192,0,0.36415,0.5967,0.43508,0.31062,0.34793,0.62672,0.43824,0.26772,0.62398,1.06856,1.71399,0.91146,0,0.00105663,0.00105663,0.00105663
7,34.3725,0.6327,0.96323,1.68023,0.90171,0,0.46299,0.52521,0.48398,0.35068,0.46572,0.52763,0.48102,0.30845,0.57044,0.98626,1.57633,0.87955,0,0.00104576,0.00104576,0.00104576
8,39.0489,0.64206,0.95885,1.63618,0.88748,0,0.38455,0.5568,0.46363,0.33097,0.38455,0.5568,0.46337,0.29745,0.63561,1.0734,1.62401,0.91344,0,0.00103488,0.00103488,0.00103488
9,43.6892,0.63692,0.98731,1.56673,0.89255,0,0.43087,0.56565,0.50409,0.36065,0.43858,0.57512,0.50824,0.31926,0.62985,1.03017,1.53019,0.93402,0,0.00102401,0.00102401,0.00102401
10,48.3691,0.62244,0.9703,1.52597,0.89484,0,0.41937,0.46241,0.45221,0.31653,0.5045,0.46744,0.45977,0.28501,0.63692,1.14614,2.18846,0.93006,0,0.00101314,0.00101314,0.00101314
11,52.9718,0.61856,0.97602,1.49147,0.89069,0,0.46398,0.55781,0.49458,0.35809,0.47583,0.55893,0.50134,0.31465,0.61868,1.03052,1.55899,0.91484,0,0.00100226,0.00100226,0.00100226
