epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93935,1.25902,2.38898,4.95169,1.04526,0,0.49584,0.4597,0.42552,0.2171,0.00904,0.01493,0.00315,0.00073,1.43048,81.2163,2.58042,1.04532,0,0.0001675,0.0001675,0.0751675
2,13.1797,0.95587,1.56957,1.91657,0.87279,0,0.61422,0.38209,0.39939,0.26749,0.3063,0.23582,0.16664,0.06861,1.09099,5.88969,3.06192,0.97676,0,0.000330431,0.000330431,0.0493304
3,16.4351,0.97641,1.63002,1.94298,0.88794,0,0.50065,0.55522,0.50236,0.33201,0.50015,0.54627,0.47663,0.27072,0.93614,3.24955,4.26014,0.8728,0,0.000481871,0.000481871,0.0234819
4,19.6763,0.9345,1.4794,1.62427,0.85735,0,0.54997,0.51045,0.52927,0.32958,0.52919,0.5194,0.51652,0.29365,1.0857,2.21498,2.03573,0.97379,0,0.000603709,0.000603709,0.000603709
5,22.902,0.94531,1.49224,1.57029,0.86271,0,0.70651,0.52836,0.59013,0.39658,0.7354,0.51642,0.59482,0.37504,0.99513,2.0805,1.92711,0.97213,0,0.000581612,0.000581612,0.000581612
6,26.0454,0.96374,1.52166,1.58885,0.88669,0,0.72273,0.68472,0.69941,0.47085,0.72588,0.6877,0.68938,0.4361,0.92702,1.67688,1.57249,0.89508,0,0.000559515,0.000559515,0.000559515
7,29.2097,0.87957,1.31995,1.43628,0.86006,0,0.79383,0.62065,0.72532,0.50645,0.79001,0.61766,0.71249,0.45288,0.90651,1.67235,1.50088,0.8849,0,0.000537418,0.000537418,0.000537418
8,32.4213,0.86068,1.40369,1.41241,0.84328,0,0.68429,0.67761,0.701,0.47714,0.67936,0.69254,0.68194,0.41813,0.9293,1.75977,1.51237,0.89607,0,0.000515321,0.000515321,0.000515321
9,35.6439,0.8417,1.34738,1.28806,0.82444,0,0.68795,0.56596,0.53855,0.3809,0.6939,0.5549,0.53997,0.32252,1.04541,2.21958,2.14599,0.95512,0,0.000493224,0.000493224,0.000493224
10,38.8689,0.84602,1.3424,1.2489,0.82933,0,0.6656,0.6298,0.645,0.43888,0.65613,0.62084,0.62691,0.37227,0.92851,1.70449,1.70448,0.87861,0,0.000471127,0.000471127,0.000471127
11,42.1225,0.79695,1.23366,1.17822,0.81665,0,0.6404,0.71236,0.6863,0.47803,0.62124,0.69036,0.66518,0.4139,0.89702,1.59874,1.5725,0.88444,0,0.00044903,0.00044903,0.00044903
