epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5301,1.46119,2.69349,5.5613,0.00573,4.42352,0.0031,0.35224,0.09025,0.05581,0.0036,0.40896,0.10423,0.06004,1.05989,2.30259,5.88243,0.00487,0,0.000653846,0.000653846,0.000653846
2,57.0057,1.30955,2.13245,4.04509,0.00495,2.29324,0.39202,0.29254,0.31913,0.21898,0.39077,0.28528,0.30077,0.17774,1.2167,3.16241,4.77076,0.00593,0,0.00129437,0.00129437,0.00129437
3,73.4296,1.44522,2.19413,3.74492,0.00571,1.73216,0.43867,0.39104,0.35666,0.22054,0.44051,0.41791,0.3774,0.25144,1.41831,2.23606,4.26749,0.0071,0,0.00190849,0.00190849,0.00190849
4,90.159,1.46009,2.07306,3.1771,0.00619,1.4966,0.53636,0.4662,0.45213,0.25817,0.53086,0.46567,0.45108,0.26258,1.4945,2.46838,2.8843,0.0073,0,0.0018812,0.0018812,0.0018812
5,104.055,1.42251,1.97004,2.87311,0.00613,1.48073,0.58123,0.51375,0.54014,0.3285,0.59474,0.52569,0.55306,0.34411,1.35021,2.08735,2.38896,0.00697,0,0.0018416,0.0018416,0.0018416
6,125.605,1.47695,1.8435,2.63544,0.00581,1.44769,0.60168,0.43738,0.45824,0.26485,0.60154,0.44162,0.45919,0.26726,1.48852,2.42232,2.49315,0.00816,0,0.001802,0.001802,0.001802
7,142.936,1.4149,1.98965,2.39764,0.00654,1.4344,0.60887,0.49254,0.49831,0.29843,0.58463,0.52537,0.5087,0.29206,1.48409,2.49477,1.8709,0.00794,0,0.0017624,0.0017624,0.0017624
8,158.957,1.48781,1.94864,2.20046,0.00619,1.36687,0.54811,0.54328,0.54667,0.32248,0.55149,0.56119,0.56047,0.33557,1.48033,1.89053,1.68855,0.00768,0,0.0017228,0.0017228,0.0017228
9,175.709,1.52458,1.88514,1.99795,0.0067,1.42142,0.59004,0.48549,0.5098,0.27009,0.59303,0.49588,0.52038,0.30771,1.77508,1.99963,1.75319,0.00981,0,0.0016832,0.0016832,0.0016832
10,193.529,1.47466,2.00318,1.96467,0.006,1.53448,0.62444,0.50626,0.52355,0.33229,0.62812,0.50924,0.53293,0.3258,1.35819,2.06788,1.89012,0.00702,0,0.0016436,0.0016436,0.0016436
11,210.166,1.47926,1.96626,1.82959,0.0065,1.36481,0.56571,0.4355,0.48905,0.30849,0.56464,0.43361,0.49157,0.30071,1.35657,2.02506,1.87995,0.00687,0,0.001604,0.001604,0.001604
12,225.803,1.43438,1.91441,1.78059,0.0059,1.48519,0.61014,0.57313,0.59012,0.34891,0.61763,0.57015,0.58844,0.35466,1.40531,2.07595,1.63589,0.00728,0,0.0015644,0.0015644,0.0015644
13,239.801,1.43033,1.89761,1.65298,0.00608,1.36163,0.61397,0.53134,0.56151,0.36056,0.59,0.56119,0.56722,0.35487,1.36638,1.86926,1.53517,0.00719,0,0.0015248,0.0015248,0.0015248
14,256.659,1.41353,1.80798,1.59672,0.00594,1.27223,0.64634,0.56418,0.6236,0.39083,0.60938,0.57313,0.60678,0.39347,1.35129,1.90088,1.44187,0.00702,0,0.0014852,0.0014852,0.0014852
15,276.63,1.35659,1.78666,1.50795,0.00589,1.22929,0.63121,0.58806,0.60959,0.39379,0.63728,0.58507,0.60539,0.39457,1.32036,1.75392,1.40954,0.00644,0,0.0014456,0.0014456,0.0014456
16,293.159,1.41885,1.88958,1.47794,0.006,1.08778,0.61952,0.60896,0.64013,0.42462,0.62768,0.61493,0.64401,0.4251,1.25015,1.85011,1.33239,0.00619,0,0.001406,0.001406,0.001406
17,307.709,1.43198,1.83126,1.47854,0.00533,1.20466,0.5811,0.57015,0.56656,0.35292,0.5811,0.57015,0.56176,0.33342,1.3654,1.94932,1.5046,0.00708,0,0.0013664,0.0013664,0.0013664
18,322.734,1.39105,1.86302,1.46428,0.00577,1.27907,0.59846,0.64776,0.63421,0.40215,0.63211,0.636,0.64576,0.3871,1.35427,1.90232,1.34122,0.00704,0,0.0013268,0.0013268,0.0013268
19,340.467,1.39332,1.77935,1.41817,0.00595,1.2953,0.68293,0.60896,0.63645,0.41534,0.68711,0.60964,0.64356,0.40542,1.35413,1.93558,1.37592,0.00714,0,0.0012872,0.0012872,0.0012872
20,358.122,1.36092,1.81159,1.3581,0.00546,1.12941,0.65141,0.54627,0.6291,0.42134,0.64959,0.54785,0.62111,0.40436,1.27244,1.90185,1.34349,0.00645,0,0.0012476,0.0012476,0.0012476
21,375.407,1.32961,1.69747,1.34471,0.00561,1.10468,0.62156,0.64478,0.63619,0.41906,0.61378,0.63582,0.6367,0.37762,1.24772,1.8738,1.35138,0.00625,0,0.001208,0.001208,0.001208
22,390.603,1.37018,1.71483,1.32723,0.00552,1.08082,0.69152,0.62687,0.67191,0.42415,0.68602,0.6209,0.66778,0.4111,1.29996,1.73766,1.30213,0.00623,0,0.0011684,0.0011684,0.0011684
23,408.306,1.38808,1.80889,1.35947,0.00606,1.25197,0.64108,0.62687,0.64996,0.40384,0.64023,0.62388,0.649,0.40793,1.38,1.826,1.35918,0.00714,0,0.0011288,0.0011288,0.0011288
24,424.101,1.34915,1.76107,1.37113,0.00581,1.16168,0.58214,0.60715,0.60829,0.38661,0.58921,0.6,0.60385,0.38803,1.37879,1.7466,1.36492,0.00681,0,0.0010892,0.0010892,0.0010892
25,442.593,1.35528,1.77132,1.40318,0.00566,1.09713,0.69445,0.58209,0.65615,0.43198,0.69252,0.58806,0.65959,0.42372,1.34963,1.86684,1.29116,0.00686,0,0.0010496,0.0010496,0.0010496
26,461.267,1.38024,1.74691,1.37025,0.00591,1.14712,0.64478,0.57015,0.63271,0.39725,0.65061,0.56142,0.62223,0.37611,1.34613,1.92452,1.41831,0.00667,0,0.00101,0.00101,0.00101
27,475.276,1.29492,1.68105,1.29166,0.00503,0.98154,0.62925,0.61194,0.63439,0.42512,0.64054,0.60597,0.62927,0.41732,1.23441,1.79162,1.34005,0.00615,0,0.0009704,0.0009704,0.0009704
28,491.483,1.35831,1.75017,1.28436,0.00568,1.18813,0.70722,0.59127,0.67978,0.45134,0.64354,0.63592,0.67914,0.43606,1.2582,1.75904,1.25397,0.00631,0,0.0009308,0.0009308,0.0009308
29,508.49,1.28338,1.74287,1.23249,0.00566,0.97875,0.69076,0.67761,0.69948,0.49592,0.69134,0.6806,0.71128,0.47939,1.15747,1.7412,1.18433,0.00567,0,0.0008912,0.0008912,0.0008912
30,525.153,1.2977,1.71569,1.24068,0.00538,1.10456,0.6639,0.6545,0.66344,0.45333,0.6809,0.66866,0.66984,0.44508,1.22305,1.71866,1.24561,0.00595,0,0.0008516,0.0008516,0.0008516
31,541.862,1.27198,1.7017,1.21136,0.00519,1.0521,0.65784,0.67463,0.66311,0.42478,0.6721,0.6806,0.67278,0.40717,1.21511,1.73653,1.27752,0.00596,0,0.000812,0.000812,0.000812
32,558.403,1.2998,1.63899,1.22575,0.00557,1.07684,0.66176,0.63659,0.66284,0.45942,0.66218,0.61437,0.65572,0.44612,1.19436,1.76431,1.23025,0.00588,0,0.0007724,0.0007724,0.0007724
33,574.441,1.23533,1.61278,1.18203,0.00521,0.97523,0.68163,0.64478,0.68914,0.47405,0.68794,0.64489,0.69854,0.46112,1.21281,1.73562,1.22489,0.0061,0,0.0007328,0.0007328,0.0007328
34,590.888,1.30451,1.63701,1.1865,0.00559,0.91821,0.68774,0.67717,0.69547,0.4806,0.70733,0.67761,0.70977,0.45769,1.15909,1.75518,1.14781,0.00558,0,0.0006932,0.0006932,0.0006932
35,609.155,1.28027,1.62367,1.13913,0.0051,1.04664,0.7509,0.61791,0.70968,0.50006,0.68517,0.67164,0.71431,0.46185,1.11656,1.71845,1.14991,0.00531,0,0.0006536,0.0006536,0.0006536
36,628.057,1.22493,1.56046,1.11058,0.00477,0.94802,0.70173,0.68121,0.7161,0.50082,0.68852,0.67761,0.71081,0.47176,1.12604,1.75041,1.16359,0.0054,0,0.000614,0.000614,0.000614
37,649.433,1.21405,1.53931,1.10134,0.00477,0.90399,0.7025,0.64776,0.71521,0.51113,0.68552,0.64179,0.70549,0.47971,1.1237,1.77647,1.15207,0.00557,0,0.0005744,0.0005744,0.0005744
38,665.329,1.20025,1.60701,1.09222,0.00481,0.94136,0.7284,0.64847,0.72212,0.50771,0.72505,0.64549,0.7138,0.47238,1.10652,1.67838,1.15635,0.00538,0,0.0005348,0.0005348,0.0005348
39,683.021,1.23779,1.60043,1.16248,0.00484,0.97366,0.73307,0.63945,0.72937,0.5295,0.7365,0.64243,0.72216,0.50653,1.08437,1.67435,1.1105,0.00523,0,0.0004952,0.0004952,0.0004952
40,699.231,1.18154,1.58157,1.14189,0.0047,0.90913,0.69697,0.69254,0.7198,0.52478,0.69353,0.69579,0.71361,0.4942,1.0798,1.66408,1.14271,0.00515,0,0.0004556,0.0004556,0.0004556
41,713.772,1.17678,1.52164,1.07957,0.00555,0.88015,0.76263,0.62338,0.72134,0.51048,0.70259,0.67761,0.71909,0.4707,1.09525,1.69444,1.13497,0.00516,0,0.000416,0.000416,0.000416
